views,likes,comments,category,channel,trending
4028419,240688,9329,Sports,Channel_77,1
4395539,22073,24812,News,Channel_50,0
2124091,117126,27099,Sports,Channel_92,0
2010021,177053,4043,Gaming,Channel_82,0
1202482,134680,14242,News,Channel_34,0
543335,10574,33365,Music,Channel_85,0
3434977,242134,26278,Sports,Channel_65,1
4271070,227516,27133,Music,Channel_45,1
3561920,86144,24740,Sports,Channel_87,1
2485413,105950,35092,News,Channel_34,1
2908360,62095,30976,News,Channel_100,1
2783592,17872,40067,Gaming,Channel_73,1
2236000,272419,11231,Music,Channel_8,0
4323252,140787,569,Education,Channel_94,0
403690,186361,3328,Sports,Channel_48,0
4694350,62481,49292,Sports,Channel_36,0
2549421,91090,25261,Gaming,Channel_100,1
4217263,108017,25262,Gaming,Channel_82,1
3807618,46114,3280,Sports,Channel_66,1
1955109,40944,19147,Gaming,Channel_11,1
4423880,254616,31742,Gaming,Channel_52,0
3113754,6060,3590,Gaming,Channel_36,0
1385250,175034,22006,Music,Channel_95,1
4026717,270638,13570,Gaming,Channel_31,1
62087,184760,34993,Gaming,Channel_24,0
1497176,31333,29593,Gaming,Channel_21,1
1887013,86342,47646,Gaming,Channel_96,1
4635096,255550,23907,Education,Channel_30,1
40353,254557,9533,Sports,Channel_72,0
3361011,272469,42649,Music,Channel_97,0
4260622,157601,16747,Sports,Channel_64,1
4960617,271261,13366,Music,Channel_39,1
417880,55791,48283,Music,Channel_1,0
4966050,266023,10832,News,Channel_97,1
814168,7981,28325,Sports,Channel_42,0
226281,254937,34798,Gaming,Channel_77,0
3118697,287805,39453,Gaming,Channel_86,1
3783875,23456,22849,Sports,Channel_5,1
2996765,257429,6157,Education,Channel_12,0
270536,169190,46436,Music,Channel_29,0
4373093,3833,30178,Gaming,Channel_3,0
1562729,144536,17001,Gaming,Channel_61,1
2223809,135014,29030,Sports,Channel_51,1
682669,205172,193,Music,Channel_36,1
3865822,67975,8164,Sports,Channel_75,1
1120043,272664,20842,Gaming,Channel_90,1
3330462,141619,1119,Gaming,Channel_2,1
2207903,105945,13351,Sports,Channel_29,0
1742093,233715,6540,News,Channel_41,0
2559231,253988,45162,Music,Channel_29,0
4301385,144864,31760,Sports,Channel_100,1
3081389,78014,49678,Education,Channel_64,0
1662909,22082,26528,Music,Channel_58,0
2657138,81025,23538,Education,Channel_83,0
111078,225085,32242,Gaming,Channel_10,1
1916631,220020,47628,Education,Channel_11,1
1405104,72756,26358,Music,Channel_7,0
2009187,176784,38613,Music,Channel_77,1
1660066,128269,40739,Music,Channel_61,1
4174125,30926,29738,Gaming,Channel_66,1
2149815,27278,46921,News,Channel_94,1
4025066,175060,23581,Music,Channel_86,1
4507259,243976,30136,Gaming,Channel_53,0
4136314,23269,21485,Music,Channel_65,0
911681,79410,27165,Music,Channel_27,0
1608618,296447,36294,Sports,Channel_7,0
3897830,111591,1634,Music,Channel_65,1
4337787,7053,43969,Music,Channel_58,1
2756423,181512,93,Sports,Channel_25,1
2034350,107019,28370,Gaming,Channel_48,1
2312987,209147,19750,Gaming,Channel_4,0
4597200,161950,40484,Sports,Channel_94,1
4672399,288463,47099,Gaming,Channel_8,1
72295,285438,16472,News,Channel_85,0
744974,113269,47009,Sports,Channel_68,0
3446376,100814,18934,Gaming,Channel_60,0
3613600,69010,43774,Gaming,Channel_4,0
826816,84189,22521,News,Channel_8,0
375705,291419,39125,News,Channel_90,0
3718270,260236,1445,Gaming,Channel_93,1
1857926,23890,21005,Sports,Channel_16,1
1659845,201274,39103,Gaming,Channel_19,1
2027793,172448,18214,Music,Channel_1,1
555594,245362,23169,Gaming,Channel_34,0
148718,67406,16938,Sports,Channel_93,1
4840567,279260,11956,Music,Channel_91,1
3505473,56741,39687,News,Channel_45,1
2205664,75020,5593,Sports,Channel_63,0
4342747,249101,26207,Gaming,Channel_94,1
1520163,294753,49354,Sports,Channel_6,0
4568920,71336,39921,Gaming,Channel_36,1
687976,248886,37310,Sports,Channel_66,0
2473189,9014,48960,Music,Channel_78,1
3142259,115028,31619,Sports,Channel_8,1
118796,25802,13403,News,Channel_67,0
1242082,54655,13065,Gaming,Channel_99,0
4893680,7242,24394,News,Channel_27,0
4893306,54776,26801,Education,Channel_34,0
4115639,120611,42646,Gaming,Channel_28,0
2689130,81598,33596,Education,Channel_31,0
3675515,179624,29230,Music,Channel_17,1
1580159,5923,7170,Music,Channel_83,1
908317,112416,18406,Sports,Channel_55,1
2486367,113703,24678,Music,Channel_75,0
4516488,93459,29968,News,Channel_9,1
669234,10577,42517,News,Channel_94,1
379480,38389,32655,News,Channel_57,0
792971,206050,27087,Gaming,Channel_45,1
502157,262473,45984,Education,Channel_6,0
4379727,90015,11049,Gaming,Channel_14,1
4125499,223108,6785,Music,Channel_31,1
2614501,4801,41766,Sports,Channel_54,0
2922944,131411,4655,Music,Channel_11,1
4328576,205469,18458,Music,Channel_69,1
4963140,61042,25102,News,Channel_95,0
3084153,175160,6918,News,Channel_2,1
2800487,21310,3436,Music,Channel_17,0
2905941,55619,21432,Gaming,Channel_36,0
2101021,191644,24873,Gaming,Channel_3,1
4976778,90055,37640,Music,Channel_63,1
1361828,267857,360,Sports,Channel_43,1
619467,223727,44677,Gaming,Channel_93,1
2136619,219172,4599,News,Channel_33,1
3956488,27686,42936,Sports,Channel_78,0
4675351,220422,39499,Music,Channel_29,1
1708923,176522,34845,Music,Channel_23,1
129391,168005,13750,Music,Channel_59,0
1018026,291956,27987,Gaming,Channel_81,1
4302754,124796,37459,Music,Channel_49,1
2270042,68157,26165,Music,Channel_55,0
1984509,22085,24346,Music,Channel_75,0
117381,205798,3514,Gaming,Channel_28,0
1522701,9314,24838,Music,Channel_71,0
1621197,129861,27559,Sports,Channel_72,0
2232660,59632,35687,News,Channel_93,0
1779226,108664,31965,Sports,Channel_25,0
1200386,249119,16385,Music,Channel_7,0
3439618,286182,18317,Music,Channel_86,1
2015484,39338,393,Gaming,Channel_73,0
2938629,289455,24881,Education,Channel_75,1
2458184,218358,46225,Sports,Channel_34,1
3144963,36855,33297,Music,Channel_91,1
4104022,76404,27955,Music,Channel_22,0
1419175,175241,44979,Gaming,Channel_67,1
3807688,80732,6495,News,Channel_50,1
4925207,287384,39721,Gaming,Channel_48,1
3773962,92564,21437,Gaming,Channel_72,0
4192423,49272,1713,Education,Channel_70,1
4042776,41732,20428,Gaming,Channel_57,0
2728423,171241,635,Gaming,Channel_25,0
1761427,240750,15193,Sports,Channel_66,1
4319427,87062,23003,Sports,Channel_16,0
3452356,100818,14633,News,Channel_58,1
1132565,255426,29228,News,Channel_41,0
3445084,262138,42077,News,Channel_51,0
2928109,221291,26730,Music,Channel_21,0
4373578,246062,48546,Gaming,Channel_79,1
2510079,104707,7445,Sports,Channel_56,0
2888004,231582,45183,News,Channel_98,1
1932760,232852,14281,Music,Channel_47,0
132373,96309,6602,Sports,Channel_43,0
116294,165756,37,Music,Channel_84,1
3133514,149187,42592,Gaming,Channel_31,0
4843611,160821,28869,Sports,Channel_15,1
4336868,163051,36543,Music,Channel_48,1
1427388,14507,31076,Music,Channel_62,0
3852424,254214,26630,Gaming,Channel_92,1
2216167,257481,20469,Music,Channel_70,1
3887402,92029,32299,Education,Channel_3,1
690944,190336,25094,News,Channel_38,0
689105,109027,26817,Music,Channel_87,0
2611910,218230,10555,Gaming,Channel_58,0
1990173,105163,5120,Music,Channel_67,0
3081761,33836,14678,Gaming,Channel_45,0
1415466,110044,4715,Sports,Channel_44,0
446101,84252,34162,Education,Channel_8,0
1106534,50110,35637,News,Channel_66,0
3228802,221181,32322,Gaming,Channel_71,1
1584593,12819,36444,Music,Channel_61,0
1804649,64460,36489,Sports,Channel_17,0
1225665,111136,38458,Gaming,Channel_71,0
2295544,264247,38586,Gaming,Channel_97,0
4354127,44508,33002,Music,Channel_36,1
499863,116261,3140,Sports,Channel_68,0
368654,40995,8638,Music,Channel_80,0
2677188,294163,45665,News,Channel_21,1
3296990,17728,17383,Sports,Channel_82,0
1493785,278859,17718,Sports,Channel_46,1
798079,62608,41093,Music,Channel_46,0
4859380,274393,10624,Sports,Channel_92,1
4043787,46675,21472,Music,Channel_16,0
3929083,294428,21863,Education,Channel_22,1
2700015,146085,6090,Music,Channel_6,0
3415527,161948,11377,Education,Channel_94,0
1287125,153070,17495,Sports,Channel_56,0
3741047,221526,14870,Sports,Channel_45,0
449982,136756,19300,Music,Channel_58,0
1173622,201620,2103,News,Channel_28,0
2504771,66456,25195,Gaming,Channel_17,1
3178825,29082,37893,Sports,Channel_36,0
997161,33727,6590,Music,Channel_12,0
4184839,218427,42980,Education,Channel_50,1
667326,157733,42368,Education,Channel_59,0
650150,109535,32050,Sports,Channel_12,0
3376957,213102,2921,News,Channel_100,1
119834,4656,4734,Sports,Channel_62,0
3240576,175413,19757,Sports,Channel_40,0
3199649,284339,30328,Music,Channel_93,0
4480125,229738,23138,Sports,Channel_2,1
4250913,52117,16037,Gaming,Channel_93,0
4423201,244875,33604,Music,Channel_94,1
1080600,279717,12094,News,Channel_100,0
1026715,70739,9028,Gaming,Channel_25,0
1439533,277855,43517,Music,Channel_85,0
2282230,200154,15432,Music,Channel_86,0
3504157,215504,43819,Gaming,Channel_74,1
462243,252625,23091,Music,Channel_31,1
2059852,128341,15586,Music,Channel_47,0
3260360,160492,5312,Sports,Channel_60,1
1986588,99290,25973,Sports,Channel_73,0
252451,189797,36590,Gaming,Channel_98,1
4198355,38675,28973,News,Channel_41,0
1753683,278111,44390,Sports,Channel_50,1
1005646,259295,16099,News,Channel_23,1
972525,163957,49956,Education,Channel_12,0
3868500,113838,33843,Music,Channel_71,1
4384711,132708,14063,Music,Channel_96,0
450395,90825,28770,Education,Channel_83,1
1261386,194904,27216,Education,Channel_22,0
3055390,203495,27660,Music,Channel_56,1
3380569,164724,16383,Music,Channel_16,1
2901603,32366,9605,Sports,Channel_58,0
2968197,265963,30649,Music,Channel_72,1
223866,297029,37220,Gaming,Channel_94,0
1136248,241131,32559,Music,Channel_51,0
1647711,271619,45066,Music,Channel_6,1
1424286,197177,12368,Sports,Channel_2,1
3696961,196332,7428,Education,Channel_62,0
3178945,15260,15817,Sports,Channel_98,0
3414821,46033,2420,Sports,Channel_93,0
184062,101360,18912,Education,Channel_42,0
2492518,177706,4317,News,Channel_43,0
2842992,16437,24361,Sports,Channel_52,1
4295539,210094,27728,Sports,Channel_58,1
3221468,134521,41180,Music,Channel_20,1
4945505,218413,49089,News,Channel_56,1
804328,78682,31068,Sports,Channel_67,1
4063958,17310,32995,Music,Channel_59,1
1044233,19669,18721,Music,Channel_48,0
1712741,162485,28964,Sports,Channel_35,1
530525,245269,31529,News,Channel_8,0
177615,10370,11456,Music,Channel_76,1
4382932,283578,33723,Music,Channel_32,1
2736988,98045,42240,Education,Channel_93,1
4602020,48801,34746,News,Channel_45,0
3700391,199877,17913,Music,Channel_85,0
542252,274454,12675,Gaming,Channel_67,1
1687293,33380,32141,Music,Channel_27,0
3613610,200913,26989,Gaming,Channel_3,0
2165367,27219,16128,Gaming,Channel_57,1
1905050,283081,48436,Gaming,Channel_65,1
145356,34589,40213,Gaming,Channel_20,0
4399165,271186,28111,Music,Channel_71,1
3100320,93264,4284,Gaming,Channel_41,1
356612,113538,25493,Music,Channel_1,0
3601333,223284,17585,Sports,Channel_74,1
10435,238302,29595,Education,Channel_76,0
4642860,181036,7131,News,Channel_4,1
1749014,248352,43382,Education,Channel_71,1
3722309,219447,26197,Music,Channel_10,1
4274085,278086,33527,Sports,Channel_86,0
2289627,287868,21957,Music,Channel_89,1
765121,57813,30936,News,Channel_29,0
1170748,133634,21545,Music,Channel_15,0
3503630,56637,13684,Music,Channel_19,1
2583115,177069,42448,Music,Channel_58,1
1108677,45390,20642,Gaming,Channel_53,0
289790,160332,4371,Music,Channel_46,0
2645489,199426,12651,Gaming,Channel_18,0
1409836,146377,1665,Music,Channel_3,0
1642249,272677,6918,Music,Channel_70,1
4845723,259135,23007,Sports,Channel_22,1
3694305,13779,31408,Education,Channel_55,0
4467271,112045,10194,Music,Channel_64,1
4386536,175727,25035,Music,Channel_41,1
1353695,221825,23816,Gaming,Channel_95,1
2107692,231842,23066,Sports,Channel_85,1
1590228,156639,11213,Gaming,Channel_8,0
3544555,234809,48513,Music,Channel_65,1
2650103,168167,22612,Sports,Channel_3,1
1101567,144552,22211,Music,Channel_29,0
2286903,118653,26866,Sports,Channel_70,1
3833065,210164,40404,Gaming,Channel_97,0
4814296,137887,31599,Gaming,Channel_18,0
50115,213406,7344,News,Channel_58,0
3338690,225966,3201,Education,Channel_1,1
722747,181854,4752,Music,Channel_22,1
4731530,101432,42343,Music,Channel_95,1
3050851,268784,10327,News,Channel_23,1
2824100,277855,48659,News,Channel_8,0
2985626,145941,45797,Music,Channel_29,1
1405330,117566,6091,News,Channel_44,0
252492,228505,27608,Sports,Channel_62,0
4036851,254819,28285,Gaming,Channel_19,1
492072,205394,22998,Gaming,Channel_59,1
1087880,15031,48634,News,Channel_80,0
4700303,200945,40289,Music,Channel_19,1
4526897,204232,22943,News,Channel_22,1
2056723,64371,48178,Gaming,Channel_83,0
2249988,272509,18007,Music,Channel_68,0
4304244,98851,25257,Sports,Channel_5,0
1315093,180086,19518,Education,Channel_5,0
2765673,246310,29784,Music,Channel_25,0
2977242,160796,38588,Music,Channel_24,1
4581081,17208,44221,Music,Channel_1,1
2649790,258476,21378,News,Channel_28,0
3764024,18750,4696,Education,Channel_47,0
2647791,265964,27995,News,Channel_85,1
2711108,258318,34635,Sports,Channel_60,1
4834177,99865,15723,News,Channel_19,0
3354597,210202,19207,News,Channel_87,1
66953,288937,27524,News,Channel_14,0
3990618,121711,28554,Music,Channel_70,1
2598480,271625,11817,News,Channel_96,0
4198571,110781,168,Sports,Channel_96,0
2923097,6173,42981,Music,Channel_8,0
158164,16075,26770,News,Channel_37,0
4730930,241272,15223,Education,Channel_86,1
2229636,248934,44220,Sports,Channel_72,0
532831,179430,8027,Education,Channel_10,1
2990475,281308,16291,Music,Channel_67,1
3207420,20239,43409,Gaming,Channel_13,1
3366884,250480,25439,Music,Channel_39,1
3370720,158079,21521,Music,Channel_64,1
4712075,21111,24715,News,Channel_30,1
2641328,40401,21618,News,Channel_4,0
692095,206945,28999,Gaming,Channel_45,0
834727,72733,32992,News,Channel_6,0
1163928,226303,41517,News,Channel_16,1
2184151,190487,39350,Education,Channel_22,1
3164683,166030,1573,Sports,Channel_91,1
3971001,290614,8577,Music,Channel_21,0
71640,197200,8712,Music,Channel_93,0
4391886,179364,29948,Sports,Channel_65,1
2001991,91735,39531,Gaming,Channel_30,1
4123263,212149,12164,Music,Channel_24,1
4595877,85789,5217,Music,Channel_64,1
4256780,3070,19526,Music,Channel_13,0
1356531,125816,31270,News,Channel_94,1
676510,275885,26409,Music,Channel_26,0
3742196,115881,49040,Music,Channel_98,0
2735296,20729,12734,News,Channel_20,0
3332869,49126,44121,Gaming,Channel_61,0
899320,26335,36269,Sports,Channel_6,1
4830040,14561,13530,News,Channel_43,1
2008635,286432,12394,Music,Channel_49,1
1227607,15151,1499,Education,Channel_9,0
4064960,295769,27539,Sports,Channel_37,1
3265908,122068,9669,Education,Channel_16,1
4261538,193833,28562,Education,Channel_4,1
1613818,112694,21629,Gaming,Channel_32,0
2276504,289606,25746,Music,Channel_84,1
3226187,50401,43287,News,Channel_93,1
4605299,120298,46007,Music,Channel_95,0
4661456,206142,18128,Gaming,Channel_17,1
4099502,113545,2039,Gaming,Channel_41,0
3622581,142780,41079,Education,Channel_89,0
4247238,239957,3857,News,Channel_45,1
426523,86721,25896,News,Channel_16,0
3600865,264519,4950,News,Channel_20,1
4200790,228635,23471,Sports,Channel_42,1
1040458,43382,15441,Sports,Channel_10,0
3773811,44144,12735,News,Channel_52,0
2318336,299977,22415,Education,Channel_60,0
4161435,71168,34511,News,Channel_48,0
2764642,237169,46051,Gaming,Channel_23,0
1810891,133031,42406,Gaming,Channel_33,1
3789340,49406,3616,News,Channel_77,1
2420862,31922,15383,Sports,Channel_25,0
198775,56957,29756,News,Channel_50,0
2387488,44397,3894,Sports,Channel_100,1
788494,278662,38995,Music,Channel_88,0
1202193,109259,43232,Sports,Channel_70,0
3944334,1929,40615,Education,Channel_79,0
3010758,140699,4281,Music,Channel_55,1
534636,33308,24647,Gaming,Channel_98,0
3039370,237235,30036,Gaming,Channel_68,1
4233406,233735,18584,News,Channel_78,1
4269764,276610,34911,News,Channel_4,1
3236658,109609,32308,Gaming,Channel_28,1
1777203,83731,47548,Sports,Channel_29,0
2277360,286394,28333,Music,Channel_82,0
4409249,271382,35949,Education,Channel_84,1
4427219,283840,19259,Sports,Channel_48,0
2535629,11930,31794,Gaming,Channel_96,0
526830,7442,39288,News,Channel_72,0
1333397,110517,13052,Music,Channel_13,0
2137233,224657,12271,Education,Channel_43,1
719216,164992,45267,Gaming,Channel_9,0
518313,121774,32175,Music,Channel_40,1
3666060,161308,8915,Education,Channel_46,1
3463565,204232,16122,Gaming,Channel_58,0
1338682,112567,44199,Sports,Channel_97,0
1287643,18023,6918,News,Channel_56,0
1534584,21456,40916,Music,Channel_12,0
395540,201457,30437,News,Channel_25,0
2616075,102271,45806,Music,Channel_89,1
4940003,262711,13805,News,Channel_16,1
4443987,168471,19598,News,Channel_51,0
27790,178782,40517,Gaming,Channel_80,0
1692738,130888,2871,Gaming,Channel_99,1
2909873,99153,37257,Music,Channel_87,0
449345,24588,37375,Gaming,Channel_72,0
750074,74789,45741,News,Channel_53,0
3686501,140678,44879,News,Channel_52,0
1880490,72544,23148,Music,Channel_67,1
3888857,272283,5834,Gaming,Channel_24,1
4985445,197128,42680,Education,Channel_86,0
3177083,273750,3399,Gaming,Channel_14,1
1455908,65365,21762,Education,Channel_22,0
2254694,12984,40372,Sports,Channel_98,1
3320144,197755,10957,Gaming,Channel_100,0
306062,251376,40499,Sports,Channel_31,1
4950499,74452,28340,Music,Channel_85,0
2388312,152900,27138,Gaming,Channel_58,1
3694976,55608,15808,Gaming,Channel_69,1
4409224,133736,28243,Music,Channel_19,0
4036493,33768,2261,Music,Channel_53,1
3389532,286358,11809,Music,Channel_85,0
1426541,127319,17696,Sports,Channel_2,0
1872403,166010,42824,Music,Channel_53,0
4849287,184691,21891,Music,Channel_67,1
822052,30562,19125,Sports,Channel_47,0
1808150,147288,997,Education,Channel_53,0
2226300,34841,47923,Gaming,Channel_57,0
1856567,43573,6353,Sports,Channel_94,0
1535837,18371,18703,Education,Channel_98,0
3502268,74479,35975,News,Channel_25,1
3339442,25826,9275,Sports,Channel_35,0
4927203,257432,19965,Sports,Channel_29,0
4455051,146701,32419,Sports,Channel_76,0
4810954,234305,48642,Music,Channel_87,1
424570,92489,35854,Sports,Channel_92,0
2374139,26829,15973,News,Channel_17,1
859158,8808,23550,News,Channel_80,0
2115792,156225,26878,Gaming,Channel_49,1
53528,243952,17105,Sports,Channel_56,0
1874421,230269,47638,Gaming,Channel_73,0
2599260,129554,33922,News,Channel_3,1
1418077,152264,16029,Education,Channel_22,0
3296887,253810,39935,Sports,Channel_95,1
3319230,9425,32784,Education,Channel_14,0
2253728,87648,31601,Gaming,Channel_3,0
2486195,18462,39865,News,Channel_38,1
4261507,195467,31545,Gaming,Channel_87,1
161775,110215,13165,Music,Channel_21,1
2668867,18180,18616,Education,Channel_51,0
1564299,16269,11654,Music,Channel_24,0
3470401,284253,17830,News,Channel_96,1
3776803,140731,16205,Sports,Channel_45,0
1345027,129404,42425,Sports,Channel_69,0
4167500,172119,11959,News,Channel_97,1
792267,273959,22158,Education,Channel_44,1
498562,254609,11819,Sports,Channel_47,0
3849693,43157,35851,Education,Channel_57,0
4579238,74290,42503,News,Channel_19,0
4038776,177135,6952,Music,Channel_34,1
2005168,97851,24225,Music,Channel_3,0
4011912,124736,47405,Gaming,Channel_39,0
4512732,76225,42231,Music,Channel_92,1
4886211,112919,5391,Sports,Channel_75,0
2180996,273139,14468,Music,Channel_60,1
1601396,274545,15091,Sports,Channel_10,1
3312149,4871,30237,Gaming,Channel_40,1
123402,261978,47732,Sports,Channel_2,1
1167588,183010,8964,Music,Channel_45,1
4633965,296518,40682,Music,Channel_27,1
2497081,249082,47244,Sports,Channel_53,1
2678618,224412,49634,Music,Channel_9,1
4768999,42933,26968,News,Channel_1,1
4658860,186978,40205,News,Channel_33,1
576278,165922,11371,Music,Channel_38,0
1179049,173337,42541,Sports,Channel_57,0
3081201,128175,25681,Sports,Channel_33,0
4673311,230324,28285,Sports,Channel_48,1
3563737,295683,37971,News,Channel_3,1
3465442,144023,15430,Sports,Channel_32,1
1275732,1679,45230,Sports,Channel_77,0
3315692,216864,9033,Gaming,Channel_21,0
4194398,55796,19918,Music,Channel_68,0
4720607,182165,18256,News,Channel_17,1
1111389,20333,48522,News,Channel_42,0
28712,230512,31188,Sports,Channel_68,0
4072647,257259,36088,Gaming,Channel_84,1
3913942,6031,14979,News,Channel_12,1
113816,113425,2728,Sports,Channel_90,1
1636156,270865,1595,Gaming,Channel_45,0
136230,7914,32624,Gaming,Channel_36,1
1767616,64043,31568,Education,Channel_80,0
4464418,231669,2288,News,Channel_51,1
1384194,120045,39613,Gaming,Channel_7,1
3102360,220869,40431,Music,Channel_33,1
1882548,186178,29011,News,Channel_48,1
4346760,221676,17127,Music,Channel_66,1
3252298,231863,17878,Music,Channel_33,1
4466150,265247,6944,News,Channel_78,1
1404,287072,12302,Gaming,Channel_84,0
4898590,193718,42948,Sports,Channel_27,1
1324483,189888,207,Gaming,Channel_47,1
1723320,140476,1083,Sports,Channel_85,1
4910764,124511,3311,Sports,Channel_66,1
2333517,260238,23135,Music,Channel_43,1
